"aaaeaea","African Association of Agricultural Economists - AAAE"
"aaanuau","Australian National University"
"aaanzea","Accounting and Finance Association of Australia and New Zealand - AFAANZ"
"aaaweea","Association for the Advancement of African Women Economists - AAAWE"
"aabasch","University of Basel"
"aabfsjo","Arab Academy for Banking and Financial Services (AABFS)"
"aacbbea","Association of African Central Banks - AACB"
"aadgvno","Government of Norway"
"aaea1ea","Alberta Agricultural Economics Association - AAEA"
"aaeaaea","Agricultural and Applied Economics Association - AAEA"
"aaeagea","Argentinian Association of Agricultural Economics"
"aaeeeea","Austrian Association for Energy Economics - AAEE"
"aaeffea","Academy of Accounting, Finance and Economics - AAFE"
"aaeppea","Argentinian Association of Political Economy"
"aaessea","Australasian Evaluation Society - AES"
"aaheeea","Argentinian Association of Economic History"
"aahhhea","Academy of Accounting Historians - AAH"
"aaidcus","American Antitrust Institute"
"aakirtr","Kirklareli University"
"aalhsdk","Aalborg Business College"
"aammmea","Asian Academy of Management - AAM"
"aaresea","Australian Agricultural and Resource Economics Society - AARES"
"aasleea","Asian and Australasian Society of Labour Economics - AASLE"
"aawaunl","Wageningen University and Research Center"
"aaweeea","American Association of Wine Economists - AAWE"
"aawzbde","Social Science Research Center"
"aayeeea","Association of African Young Economists - AAYE"
"abareau","Government of Australia"
"abbsbin","Acharya Bangalore Business School (ABBS)"
"abcscus","California State University-Chico"
"abeffea","Association of Behavioral Economics and Finance - ABEF"
"aberrea","Brazilian Association for Regional and Urban Studies"
"abettea","Brazilian Association for Labor Studies"
"abeurnl","Erasmus University of Rotterdam"
"abfeeea","Academy of Behavioral Finance and Economics - ABFE"
"abfffea","Association for Banking and Finance - ABF"
"abfidid","Asian Banking Finance Informatics Institute Perbanas (ABFI)"
"abfslus","American Bar Foundation (ABF)"
"abhisea","Association of Business Historians - ABH"
"abiiiea","Italian Banking Association"
"abjitus","AEI-Brookings Joint Institute for Regulatory Studies"
"abkulbe","University of Leuven"
"abmartr","Marmara University"
"abmuhus","Muhlenberg College"
"abpheea","Brazilian Association for Research in Economic History"
"abppnid","Tual State Fisheries Poytechnic"
"absayjp","Aoyama Gakuin University"
"absgvau","Government of Australia"
"abuwrus","University of Wisconsin-River Falls"
"acacacr","Academy of Central-America"
"acaesea","American Committee on Asian Economic Studies - ACAES"
"acanuau","Australian National University"
"acbaril","Bar Ilan University"
"acbfhzw","African Capacity Building Foundation"
"acccjin","Ananda Chandra College of Commerce"
"accffus","American Council for Capital Formation (ACCF)"
"accgvau","Government of Australia"
"acchaus","Chapman University"
"acdsybd","Asian Center for Development"
"aceaaea","Atlantic Canada Economics Association - ACEA"
"acecsmd","Academy of Economic Studies"
"acedbba","Agency for Cooperation, Education and Development (ACED)"
"acee1ea","Association of Christian Economists - ACE"
"acee2ea","Association of Caribbean Economists - ACE"
"acee3ea","Association of Competition Economics - ACE"
"aceeeus","American Council for an Energy-Efficient Economy"
